InteractionID	PeakID.1.	chr.1.	start.1.	end.1.	strand.1.	Total.Reads.1.	PeakID.2.	chr.2.	start.2.	end.2.	strand.2.	Total.Reads.2.	Distance	Interaction.Reads	Expected.Reads	Z.score	LogP	FDR.Benjamini..based.on.3.68e.08.total.tests.	Circos.Thickness
interaction52620	chr15-88600000	chr15	88600000	88700000	+	9375	chr15-76100000	chr15	76100000	76200000	+	10985	12496488	13	2.409901	1.703139	-13.346796	0.011186	2
interaction52624	chr15-99400000	chr15	99400000	99500000	+	10957	chr15-36400000	chr15	36400000	36500000	+	9062	62981300	10	1.347106	1.991256	-13.346558	0.011188	2
interaction52625	chr15-98400000	chr15	98400000	98500000	+	11097	chr15-79100000	chr15	79100000	79200000	+	6766	19283972	11	1.67753	1.86604	-13.346479	0.011188	2
interaction52627	chr14-18800000	chr14	18800000	18900000	+	8803	chr14-14900000	chr14	14900000	15000000	+	11434	3893210	17	4.1084	1.537474	-13.346037	0.011193	2
interaction52640	chr15-97200000	chr15	97200000	97300000	+	11899	chr15-89000000	chr15	89000000	89100000	+	11127	8196677	16	3.658863	1.548467	-13.344274	0.01121	2
interaction52645	chr15-98700000	chr15	98700000	98800000	+	6953	chr15-77600000	chr15	77600000	77700000	+	10854	21096825	11	1.678022	1.878509	-13.343538	0.011217	2
interaction52660	chr14-60700000	chr14	60700000	60800000	+	12392	chr14-20800000	chr14	20800000	20900000	+	11310	39885441	13	2.410765	1.738675	-13.341979	0.011231	2
interaction52665	chr15-67200000	chr15	67200000	67300000	+	10381	chr15-66600000	chr15	66600000	66700000	+	13003	595674	47	21.6742	1.115916	-13.34183	0.011232	2
interaction52672	chr14-122200000	chr14	122200000	122300000	+	11602	chr14-120800000	chr14	120800000	120900000	+	11647	1418464	31	11.567773	1.223881	-13.341299	0.011236	2
interaction52697	chr15-86600000	chr15	86600000	86700000	+	10090	chr15-60000000	chr15	60000000	60100000	+	8431	26580239	11	1.6787	1.874094	-13.338715	0.01126	2
interaction52707	chr15-101100000	chr15	101100000	101200000	+	9954	chr15-88500000	chr15	88500000	88600000	+	13713	12589706	15	3.227032	1.580324	-13.337645	0.01127	2
interaction52718	chr15-83600000	chr15	83600000	83700000	+	11646	chr15-72500000	chr15	72500000	72600000	+	11893	11103752	15	3.227247	1.584112	-13.335899	0.011287	2
interaction52723	chr15-103400000	chr15	103400000	103490928	+	8926	chr15-59800000	chr15	59800000	59900000	+	10479	43586218	11	1.679245	1.885171	-13.335378	0.011292	2
interaction52737	chr15-83600000	chr15	83600000	83700000	+	11646	chr15-75900000	chr15	75900000	76000000	+	7383	7695620	13	2.413169	1.724743	-13.333662	0.011308	2
interaction52739	chr14-79800000	chr14	79800000	79900000	+	11903	chr14-21400000	chr14	21400000	21500000	+	10002	58386916	11	1.679503	1.90871	-13.333443	0.011311	2
interaction52768	chr15-101500000	chr15	101500000	101600000	+	9186	chr15-74200000	chr15	74200000	74300000	+	6863	27286272	10	1.349748	1.954254	-13.330529	0.011337	2
interaction52772	chr15-37500000	chr15	37500000	37600000	+	12928	chr15-36600000	chr15	36600000	36700000	+	12678	900377	42	18.398365	1.101191	-13.330221	0.01134	2
interaction52775	chr15-76400000	chr15	76400000	76500000	+	7240	chr15-76000000	chr15	76000000	76100000	+	4678	390800	26	8.717046	1.660197	-13.330064	0.011341	2
interaction52776	chr15-64300000	chr15	64300000	64400000	+	13314	chr15-59800000	chr15	59800000	59900000	+	10479	4504159	18	4.577288	1.478094	-13.33003	0.011341	2
interaction52784	chr15-65900000	chr15	65900000	66000000	+	10460	chr15-40300000	chr15	40300000	40400000	+	10124	25591644	12	2.03585	1.796703	-13.328617	0.011356	2
interaction52786	chr15-96300000	chr15	96300000	96400000	+	10321	chr15-95700000	chr15	95700000	95800000	+	5291	568987	28	9.842512	1.484823	-13.328195	0.01136	2
interaction52798	chr15-102100000	chr15	102100000	102200000	+	7497	chr15-82100000	chr15	82100000	82200000	+	9915	20009970	11	1.680855	1.869767	-13.327134	0.011369	2
interaction52806	chr15-103100000	chr15	103100000	103200000	+	9553	chr15-96100000	chr15	96100000	96200000	+	12735	7024221	16	3.664332	1.547077	-13.326506	0.011375	2
interaction52811	chr15-93200000	chr15	93200000	93300000	+	12050	chr15-72600000	chr15	72600000	72700000	+	13037	20598288	15	3.230012	1.606715	-13.325418	0.011386	2
interaction52827	chr15-81700000	chr15	81700000	81800000	+	10502	chr15-79100000	chr15	79100000	79200000	+	6766	2592086	16	3.666117	1.638745	-13.323449	0.011405	2
interaction52830	chr15-84400000	chr15	84400000	84500000	+	9255	chr15-73400000	chr15	73400000	73500000	+	10775	10987585	13	2.41523	1.70377	-13.323031	0.011409	2
interaction52833	chr14-17200000	chr14	17200000	17300000	+	13792	chr14-16300000	chr14	16300000	16400000	+	7972	907143	35	13.994398	1.217151	-13.322583	0.011414	2
interaction52839	chr15-88600000	chr15	88600000	88700000	+	9375	chr15-54900000	chr15	54900000	55000000	+	9620	33728994	11	1.681666	1.867931	-13.32151	0.011425	2
interaction52850	chr15-86300000	chr15	86300000	86400000	+	11670	chr15-12000000	chr15	12000000	12100000	+	9598	74312214	10	1.351109	2.040867	-13.32028	0.011436	2
interaction52871	chr14-79900000	chr14	79900000	80000000	+	11796	chr14-55500000	chr14	55500000	55600000	+	10465	24410255	13	2.416376	1.717022	-13.317264	0.011466	2
interaction52879	chr15-99500000	chr15	99500000	99600000	+	9111	chr15-75500000	chr15	75500000	75600000	+	10613	23987644	12	2.03841	1.784188	-13.316369	0.011475	2
interaction52907	chr15-38100000	chr15	38100000	38200000	+	10997	chr15-37300000	chr15	37300000	37400000	+	9941	803302	35	13.996395	1.24055	-13.314099	0.011495	2
interaction52921	chr14-61400000	chr14	61400000	61500000	+	10788	chr14-61100000	chr14	61100000	61200000	+	7318	283940	51	24.40131	1.227055	-13.312614	0.011509	2
interaction52932	chr15-84500000	chr15	84500000	84600000	+	8653	chr15-77100000	chr15	77100000	77200000	+	9857	7406425	13	2.417921	1.724005	-13.311404	0.01152	2
interaction52946	chr14-96200000	chr14	96200000	96300000	+	16112	chr14-82700000	chr14	82700000	82800000	+	10568	13504960	16	3.668809	1.531837	-13.310395	0.011529	2
interaction52951	chr14-17300000	chr14	17300000	17400000	+	11504	chr14-16200000	chr14	16200000	16300000	+	9934	1093276	32	12.181369	1.244648	-13.310229	0.01153	2
interaction52956	chr15-85600000	chr15	85600000	85700000	+	7611	chr15-83400000	chr15	83400000	83500000	+	9184	2197279	17	4.120123	1.614487	-13.309885	0.011533	2
interaction52957	chr15-93500000	chr15	93500000	93600000	+	6688	chr15-93200000	chr15	93200000	93300000	+	12050	291908	54	26.460832	1.188478	-13.309623	0.011535	2
interaction52958	chr15-76200000	chr15	76200000	76300000	+	6291	chr15-75800000	chr15	75800000	75900000	+	6837	393856	30	11.005864	1.532517	-13.309423	0.011538	2
interaction52965	chr15-102500000	chr15	102500000	102600000	+	10381	chr15-101900000	chr15	101900000	102000000	+	9562	607357	42	18.419967	1.185476	-13.308749	0.011544	2
interaction52970	chr14-85200000	chr14	85200000	85300000	+	9001	chr14-36600000	chr14	36600000	36700000	+	11851	48597406	11	1.684046	1.887712	-13.308277	0.011548	2
interaction52979	chr15-78000000	chr15	78000000	78100000	+	10163	chr15-75600000	chr15	75600000	75700000	+	9286	2402142	19	5.063748	1.507529	-13.306712	0.011564	2
interaction52981	chr15-63900000	chr15	63900000	64000000	+	9592	chr15-60500000	chr15	60500000	60600000	+	17798	3405945	22	6.570615	1.343073	-13.306111	0.011571	2
interaction52986	chr15-102000000	chr15	102000000	102100000	+	9701	chr15-77700000	chr15	77700000	77800000	+	9868	24294876	12	2.040539	1.784504	-13.305475	0.011577	2
interaction52991	chr15-74800000	chr15	74800000	74900000	+	8002	chr15-36700000	chr15	36700000	36800000	+	9482	38117250	10	1.353604	1.966729	-13.304764	0.011584	2
interaction53012	chr15-59400000	chr15	59400000	59500000	+	14076	chr15-38400000	chr15	38400000	38500000	+	11677	21008652	15	3.236278	1.607527	-13.302306	0.011608	2
interaction53013	chr15-98800000	chr15	98800000	98900000	+	11369	chr15-80300000	chr15	80300000	80400000	+	11387	18512622	14	2.818685	1.653143	-13.302238	0.011609	2
interaction53022	chr15-100000000	chr15	100000000	100100000	+	11541	chr15-85400000	chr15	85400000	85500000	+	12243	14597548	15	3.236631	1.590322	-13.301062	0.01162	2
interaction53025	chr14-12000000	chr14	12000000	12100000	+	12673	chr14-10800000	chr14	10800000	10900000	+	13288	1204791	39	16.499135	1.101112	-13.300755	0.011623	2
interaction53034	chr15-98600000	chr15	98600000	98700000	+	9614	chr15-83400000	chr15	83400000	83500000	+	9184	15203498	12	2.041711	1.785769	-13.299915	0.011631	2
interaction53059	chr15-84500000	chr15	84500000	84600000	+	8653	chr15-75500000	chr15	75500000	75600000	+	10613	8977798	13	2.421197	1.705429	-13.296803	0.011662	2
interaction53066	chr15-99000000	chr15	99000000	99100000	+	8384	chr15-81800000	chr15	81800000	81900000	+	10877	17184340	12	2.042588	1.787291	-13.29603	0.011669	2
interaction53071	chr15-94500000	chr15	94500000	94600000	+	9883	chr15-92700000	chr15	92700000	92800000	+	13003	1792725	26	8.725974	1.302808	-13.295564	0.011674	2
interaction53081	chr15-88600000	chr15	88600000	88700000	+	9375	chr15-85400000	chr15	85400000	85500000	+	12243	3189934	19	5.068156	1.4603	-13.294204	0.011687	2
interaction53084	chr14-65600000	chr14	65600000	65700000	+	9216	chr14-30800000	chr14	30800000	30900000	+	12205	34806865	12	2.042922	1.792302	-13.293883	0.01169	2
interaction53108	chr15-100000000	chr15	100000000	100100000	+	11541	chr15-83200000	chr15	83200000	83300000	+	12854	16806717	15	3.239477	1.597404	-13.290505	0.011725	2
interaction53112	chr14-113200000	chr14	113200000	113300000	+	12605	chr14-40000000	chr14	40000000	40100000	+	11159	73207742	11	1.687129	1.940756	-13.290104	0.011728	2
interaction53126	chr15-101000000	chr15	101000000	101100000	+	11669	chr15-84300000	chr15	84300000	84400000	+	10856	16698188	14	2.822031	1.655502	-13.28895	0.011739	2
interaction53194	chr15-90700000	chr15	90700000	90800000	+	10889	chr15-13300000	chr15	13300000	13400000	+	10762	77409222	10	1.357083	2.040911	-13.281144	0.011816	2
interaction53206	chr15-38400000	chr15	38400000	38500000	+	11677	chr15-36600000	chr15	36600000	36700000	+	12678	1804986	27	9.291814	1.275048	-13.280381	0.011822	2
interaction53222	chr15-101600000	chr15	101600000	101700000	+	9815	chr15-83700000	chr15	83700000	83800000	+	11102	17886412	13	2.425132	1.716087	-13.278585	0.01184	2
interaction53225	chr15-103000000	chr15	103000000	103100000	+	12715	chr15-88900000	chr15	88900000	89000000	+	7979	14097708	13	2.425468	1.706813	-13.278305	0.011843	2
interaction53227	chr15-37900000	chr15	37900000	38000000	+	17786	chr15-36400000	chr15	36400000	36500000	+	9062	1499318	31	11.607034	1.209889	-13.278072	0.011845	2
interaction53232	chr15-30400000	chr15	30400000	30500000	+	10999	chr15-27000000	chr15	27000000	27100000	+	13903	3413166	21	6.067839	1.375908	-13.277787	0.011847	2
interaction53238	chr15-81600000	chr15	81600000	81700000	+	7246	chr15-78500000	chr15	78500000	78600000	+	12704	3098652	17	4.130678	1.551787	-13.276712	0.011858	2
interaction53246	chr15-63200000	chr15	63200000	63300000	+	9799	chr15-61000000	chr15	61000000	61100000	+	14717	2195714	24	7.641237	1.335604	-13.275834	0.011867	2
interaction53249	chr15-26600000	chr15	26600000	26700000	+	9490	chr15-22800000	chr15	22800000	22900000	+	11506	3799963	17	4.130261	1.531844	-13.275489	0.011871	2
interaction53262	chr15-95700000	chr15	95700000	95800000	+	5291	chr15-58200000	chr15	58200000	58300000	+	10914	37505619	9	1.054488	2.048636	-13.273894	0.011887	2
interaction53272	chr14-83200000	chr14	83200000	83300000	+	7125	chr14-38300000	chr14	38300000	38400000	+	11423	44872897	10	1.35863	1.971107	-13.272737	0.011898	2
interaction53273	chr15-11300000	chr15	11300000	11400000	+	10397	chr15-3900000	chr15	3900000	4000000	+	10832	7389764	15	3.24445	1.598794	-13.272703	0.011898	2
interaction53282	chr14-69800000	chr14	69800000	69900000	+	10769	chr14-25300000	chr14	25300000	25400000	+	11348	44505712	12	2.047328	1.807192	-13.271331	0.011913	2
interaction53347	chr15-102300000	chr15	102300000	102400000	+	11458	chr15-79100000	chr15	79100000	79200000	+	6766	23179274	11	1.691776	1.855938	-13.266344	0.011958	2
interaction53391	chr15-90200000	chr15	90200000	90300000	+	11343	chr15-70700000	chr15	70700000	70800000	+	7045	19514503	11	1.692652	1.85621	-13.261207	0.012009	2
interaction53395	chr15-30600000	chr15	30600000	30700000	+	13285	chr15-28100000	chr15	28100000	28200000	+	11740	2513336	24	7.647086	1.317586	-13.260809	0.012013	2
interaction53407	chr14-73600000	chr14	73600000	73700000	+	10704	chr14-71000000	chr14	71000000	71100000	+	10776	2590892	20	5.571631	1.448747	-13.259974	0.012021	2
interaction53413	chr15-96000000	chr15	96000000	96100000	+	11033	chr15-63800000	chr15	63800000	63900000	+	9876	32222908	12	2.049902	1.779624	-13.258981	0.012031	2
interaction53420	chr15-86900000	chr15	86900000	87000000	+	12959	chr15-32700000	chr15	32700000	32800000	+	7070	54206971	10	1.360947	1.977811	-13.25781	0.012044	2
interaction53426	chr14-48100000	chr14	48100000	48200000	+	8949	chr14-47600000	chr14	47600000	47700000	+	11669	506567	45	20.422437	1.175737	-13.256788	0.012055	2
interaction53427	chr14-11400000	chr14	11400000	11500000	+	9567	chr14-11200000	chr14	11200000	11300000	+	9294	200282	74	40.758978	1.124066	-13.256663	0.012056	2
interaction53443	chr14-79900000	chr14	79900000	80000000	+	11796	chr14-71100000	chr14	71100000	71200000	+	8136	8795111	13	2.430658	1.706382	-13.255141	0.012071	2
interaction53445	chr15-99000000	chr15	99000000	99100000	+	8384	chr15-96500000	chr15	96500000	96600000	+	12206	2501546	20	5.574559	1.45557	-13.254779	0.012074	2
interaction53484	chr15-85500000	chr15	85500000	85600000	+	8841	chr15-84700000	chr15	84700000	84800000	+	11622	809064	35	14.039018	1.236483	-13.251075	0.012111	2
interaction53496	chr14-27300000	chr14	27300000	27400000	+	10431	chr14-21200000	chr14	21200000	21300000	+	10021	6125621	15	3.250722	1.597043	-13.249758	0.012124	2
interaction53504	chr14-73600000	chr14	73600000	73700000	+	10704	chr14-55400000	chr14	55400000	55500000	+	9177	18211815	12	2.052031	1.782232	-13.248814	0.012133	2
interaction53512	chr15-98000000	chr15	98000000	98100000	+	7824	chr15-76700000	chr15	76700000	76800000	+	12076	21310312	12	2.052393	1.792437	-13.247877	0.012143	2
interaction53516	chr15-83100000	chr15	83100000	83200000	+	9172	chr15-76200000	chr15	76200000	76300000	+	6291	6924309	11	1.695194	1.861248	-13.247669	0.012145	2
interaction53524	chr15-103000000	chr15	103000000	103100000	+	12715	chr15-99800000	chr15	99800000	99900000	+	11162	3186986	22	6.594825	1.344719	-13.246288	0.012159	2
interaction53526	chr15-100900000	chr15	100900000	101000000	+	8613	chr15-75600000	chr15	75600000	75700000	+	9286	25299840	11	1.695148	1.863894	-13.246239	0.01216	2
interaction53527	chr15-85800000	chr15	85800000	85900000	+	8429	chr15-72900000	chr15	72900000	73000000	+	10555	12894761	12	2.052648	1.764535	-13.246203	0.01216	2
interaction53532	chr15-93100000	chr15	93100000	93200000	+	12899	chr15-6500000	chr15	6500000	6600000	+	12876	86614166	11	1.694955	1.965718	-13.245806	0.012164	2
interaction53537	chr15-98500000	chr15	98500000	98600000	+	8617	chr15-97800000	chr15	97800000	97900000	+	11486	697936	38	15.912441	1.213485	-13.245314	0.012168	2
interaction53539	chr15-85600000	chr15	85600000	85700000	+	7611	chr15-57800000	chr15	57800000	57900000	+	11212	27807584	11	1.695478	1.869809	-13.245002	0.012172	2
interaction53561	chr15-83300000	chr15	83300000	83400000	+	10159	chr15-76500000	chr15	76500000	76600000	+	9675	6783548	14	2.833535	1.650477	-13.243225	0.012188	2
interaction53594	chr15-81700000	chr15	81700000	81800000	+	10502	chr15-76700000	chr15	76700000	76800000	+	12076	5007522	17	4.141495	1.510109	-13.238957	0.012233	2
interaction53596	chr14-58000000	chr14	58000000	58100000	+	9049	chr14-52600000	chr14	52600000	52700000	+	7086	5369998	12	2.05438	1.800409	-13.23868	0.012236	2
interaction53608	chr15-96700000	chr15	96700000	96800000	+	9337	chr15-95800000	chr15	95800000	95900000	+	15026	892971	40	17.186865	1.125718	-13.237233	0.012251	2
interaction53612	chr15-29600000	chr15	29600000	29700000	+	9513	chr15-20600000	chr15	20600000	20700000	+	11656	9009273	14	2.835179	1.637383	-13.236717	0.012256	2
interaction53630	chr15-80200000	chr15	80200000	80300000	+	8225	chr15-79800000	chr15	79800000	79900000	+	10059	401726	45	20.442047	1.219816	-13.235384	0.012269	2
interaction53636	chr15-81800000	chr15	81800000	81900000	+	10877	chr15-79100000	chr15	79100000	79200000	+	6766	2697810	16	3.692154	1.62491	-13.234328	0.01228	2
interaction53637	chr14-85500000	chr14	85500000	85600000	+	7842	chr14-36700000	chr14	36700000	36800000	+	8407	48793530	9	1.059451	2.054016	-13.234326	0.01228	2
interaction53639	chr14-26100000	chr14	26100000	26200000	+	11006	chr14-25300000	chr14	25300000	25400000	+	11348	814163	40	17.186108	1.147595	-13.234087	0.012282	2
interaction53644	chr15-82200000	chr15	82200000	82300000	+	11695	chr15-78300000	chr15	78300000	78400000	+	10375	3895283	18	4.60955	1.482556	-13.233758	0.012285	2
interaction53686	chr15-98400000	chr15	98400000	98500000	+	11097	chr15-81300000	chr15	81300000	81400000	+	8354	17099363	12	2.056029	1.783551	-13.229583	0.012327	2
interaction53689	chr15-93200000	chr15	93200000	93300000	+	12050	chr15-52500000	chr15	52500000	52600000	+	10023	40711915	12	2.055984	1.800257	-13.228898	0.012335	2
interaction53691	chr15-102500000	chr15	102500000	102600000	+	10381	chr15-85400000	chr15	85400000	85500000	+	12243	17091711	14	2.837051	1.650721	-13.228687	0.012337	2
interaction53712	chr14-56300000	chr14	56300000	56400000	+	8992	chr14-26200000	chr14	26200000	26300000	+	9578	30081448	11	1.698748	1.864632	-13.22597	0.012366	2
interaction53723	chr15-99500000	chr15	99500000	99600000	+	9111	chr15-98900000	chr15	98900000	99000000	+	7984	602323	34	13.444569	1.326954	-13.22501	0.012375	2
interaction53726	chr14-78800000	chr14	78800000	78900000	+	11686	chr14-51400000	chr14	51400000	51500000	+	8981	27395633	12	2.056958	1.786454	-13.224628	0.012379	2
interaction53727	chr15-100400000	chr15	100400000	100500000	+	9471	chr15-99800000	chr15	99800000	99900000	+	11162	606832	43	19.134448	1.165245	-13.224553	0.01238	2
interaction53728	chr15-80200000	chr15	80200000	80300000	+	8225	chr15-78900000	chr15	78900000	79000000	+	8335	1288861	21	6.090344	1.527749	-13.22443	0.012381	2
interaction53729	chr14-33000000	chr14	33000000	33100000	+	12751	chr14-28300000	chr14	28300000	28400000	+	11873	4704211	19	5.092314	1.423553	-13.224356	0.012382	2
interaction53733	chr15-62400000	chr15	62400000	62500000	+	14619	chr15-61400000	chr15	61400000	61500000	+	13085	997863	43	19.128589	1.064673	-13.223856	0.012387	2
interaction53742	chr15-75400000	chr15	75400000	75500000	+	9336	chr15-57900000	chr15	57900000	58000000	+	10551	17499054	12	2.057256	1.779841	-13.222969	0.012396	2
interaction53743	chr15-31400000	chr15	31400000	31500000	+	12211	chr15-27900000	chr15	27900000	28000000	+	12781	3487776	21	6.089288	1.368803	-13.222855	0.012397	2
interaction53756	chr14-35400000	chr14	35400000	35500000	+	14235	chr14-32900000	chr14	32900000	33000000	+	11391	2487184	25	8.20894	1.285653	-13.221804	0.012407	2
interaction53763	chr14-56100000	chr14	56100000	56200000	+	11841	chr14-31400000	chr14	31400000	31500000	+	8705	24682411	12	2.057759	1.779784	-13.220844	0.012417	2
interaction53764	chr15-75500000	chr15	75500000	75600000	+	10613	chr15-38100000	chr15	38100000	38200000	+	10997	37401273	12	2.057632	1.795275	-13.220532	0.012421	2
interaction53769	chr15-88200000	chr15	88200000	88300000	+	11439	chr15-69300000	chr15	69300000	69400000	+	12017	18903177	14	2.839024	1.643435	-13.220253	0.012424	2
interaction53777	chr14-79800000	chr14	79800000	79900000	+	11903	chr14-26500000	chr14	26500000	26600000	+	9382	53291813	11	1.699844	1.882774	-13.219682	0.012429	2
interaction53788	chr14-57100000	chr14	57100000	57200000	+	9625	chr14-52700000	chr14	52700000	52800000	+	9594	4403256	15	3.259289	1.619935	-13.218474	0.012441	2
interaction53790	chr15-102400000	chr15	102400000	102500000	+	13540	chr15-72800000	chr15	72800000	72900000	+	9011	29583152	13	2.438808	1.720448	-13.218465	0.012441	2
interaction53800	chr15-102900000	chr15	102900000	103000000	+	12891	chr15-78100000	chr15	78100000	78200000	+	13939	24791398	16	3.695612	1.536645	-13.217551	0.01245	2
interaction53803	chr15-86300000	chr15	86300000	86400000	+	11670	chr15-73700000	chr15	73700000	73800000	+	9113	12611731	13	2.439088	1.690499	-13.217166	0.012454	2
interaction53823	chr15-96600000	chr15	96600000	96700000	+	10495	chr15-74500000	chr15	74500000	74600000	+	10942	22109031	13	2.439302	1.712353	-13.215475	0.01247	2
interaction53824	chr14-79900000	chr14	79900000	80000000	+	11796	chr14-35500000	chr14	35500000	35600000	+	10669	44378482	12	2.058655	1.801412	-13.215475	0.01247	2
interaction53838	chr14-11500000	chr14	11500000	11600000	+	12331	chr14-11000000	chr14	11000000	11100000	+	8628	505599	49	23.127899	1.119218	-13.213628	0.01249	2
interaction53839	chr14-58300000	chr14	58300000	58400000	+	11581	chr14-35400000	chr14	35400000	35500000	+	14235	22886498	15	3.260317	1.585967	-13.213539	0.012491	2
interaction53841	chr14-73500000	chr14	73500000	73600000	+	11035	chr14-52900000	chr14	52900000	53000000	+	10692	20624807	13	2.439817	1.719414	-13.213113	0.012496	2
interaction53855	chr14-77300000	chr14	77300000	77400000	+	15105	chr14-76300000	chr14	76300000	76400000	+	14790	997891	48	22.443442	1.001467	-13.211866	0.012508	2
interaction53897	chr15-63200000	chr15	63200000	63300000	+	9799	chr15-62000000	chr15	62000000	62100000	+	10039	1219205	26	8.76934	1.371832	-13.207819	0.012549	2
interaction53907	chr15-64900000	chr15	64900000	65000000	+	12080	chr15-57100000	chr15	57100000	57200000	+	10465	7801021	15	3.262423	1.592045	-13.206392	0.012565	2
interaction53911	chr14-70900000	chr14	70900000	71000000	+	8945	chr14-52600000	chr14	52600000	52700000	+	7086	18309655	10	1.368964	1.936265	-13.206267	0.012565	2
interaction53973	chr14-57500000	chr14	57500000	57600000	+	13180	chr14-33000000	chr14	33000000	33100000	+	12751	24521226	15	3.263821	1.585796	-13.20015	0.012628	2
interaction53999	chr14-123300000	chr14	123300000	123400000	+	12062	chr14-122000000	chr14	122000000	122100000	+	9912	1301458	30	11.063572	1.25309	-13.197138	0.01266	2
interaction54004	chr15-96700000	chr15	96700000	96800000	+	9337	chr15-95400000	chr15	95400000	95500000	+	12558	1293765	29	10.481605	1.276736	-13.19623	0.01267	2
interaction54005	chr14-19600000	chr14	19600000	19700000	+	11007	chr14-19300000	chr14	19300000	19400000	+	9123	303646	64	33.580172	1.077255	-13.196188	0.01267	2
interaction54015	chr15-86300000	chr15	86300000	86400000	+	11670	chr15-57400000	chr15	57400000	57500000	+	12827	28879399	14	2.845117	1.658376	-13.195744	0.012674	2
interaction54050	chr15-101900000	chr15	101900000	102000000	+	9562	chr15-84800000	chr15	84800000	84900000	+	9492	17093240	12	2.063374	1.780327	-13.192823	0.012702	2
interaction54061	chr15-99200000	chr15	99200000	99300000	+	8271	chr15-75700000	chr15	75700000	75800000	+	9572	23501812	11	1.704962	1.850081	-13.191809	0.012713	2
interaction54065	chr15-89200000	chr15	89200000	89300000	+	13011	chr15-75800000	chr15	75800000	75900000	+	6837	13407154	12	2.064126	1.763395	-13.190987	0.012722	2
interaction54073	chr14-105500000	chr14	105500000	105600000	+	13895	chr14-71100000	chr14	71100000	71200000	+	8136	34415667	12	2.064009	1.78178	-13.190502	0.012727	2
interaction54099	chr14-12200000	chr14	12200000	12300000	+	9949	chr14-9600000	chr14	9600000	9700000	+	10198	2607366	20	5.599502	1.443295	-13.186981	0.012765	2
interaction54115	chr15-98500000	chr15	98500000	98600000	+	8617	chr15-82800000	chr15	82800000	82900000	+	10565	15715509	12	2.064949	1.778351	-13.185583	0.012779	2
interaction54122	chr15-83600000	chr15	83600000	83700000	+	11646	chr15-75000000	chr15	75000000	75100000	+	12190	8595352	16	3.705591	1.53042	-13.184242	0.012795	2
interaction54132	chr15-84700000	chr15	84700000	84800000	+	11622	chr15-77700000	chr15	77700000	77800000	+	9868	6999802	15	3.26869	1.588999	-13.18376	0.012799	2
interaction54158	chr15-102600000	chr15	102600000	102700000	+	12286	chr15-77000000	chr15	77000000	77100000	+	12987	25608338	15	3.268847	1.592694	-13.181903	0.012816	2
interaction54165	chr15-81600000	chr15	81600000	81700000	+	7246	chr15-81300000	chr15	81300000	81400000	+	8354	304501	44	19.830515	1.322808	-13.181313	0.012822	2
interaction54167	chr15-90200000	chr15	90200000	90300000	+	11343	chr15-71600000	chr15	71600000	71700000	+	12070	18594731	14	2.848829	1.644006	-13.181045	0.012825	2
interaction54172	chr15-103200000	chr15	103200000	103300000	+	11053	chr15-89100000	chr15	89100000	89200000	+	7690	14107413	12	2.066201	1.767157	-13.180084	0.012836	2
interaction54187	chr15-66500000	chr15	66500000	66600000	+	12003	chr15-59300000	chr15	59300000	59400000	+	13320	7186601	17	4.160381	1.488297	-13.178237	0.012857	2
interaction54188	chr15-82000000	chr15	82000000	82100000	+	10396	chr15-76200000	chr15	76200000	76300000	+	6291	5837946	12	2.066882	1.786683	-13.178057	0.012859	2
interaction54207	chr14-105600000	chr14	105600000	105700000	+	10553	chr14-102000000	chr14	102000000	102100000	+	14849	3614101	21	6.108717	1.362267	-13.175558	0.012886	2
interaction54211	chr15-85300000	chr15	85300000	85400000	+	7973	chr15-76500000	chr15	76500000	76600000	+	9675	8795679	12	2.067147	1.76835	-13.175244	0.012889	2
interaction54217	chr15-103000000	chr15	103000000	103100000	+	12715	chr15-76200000	chr15	76200000	76300000	+	6291	26804573	11	1.708298	1.858879	-13.174815	0.012893	2
interaction54228	chr15-83600000	chr15	83600000	83700000	+	11646	chr15-74100000	chr15	74100000	74200000	+	8265	9504980	13	2.449102	1.688317	-13.173643	0.012906	2
interaction54245	chr14-119100000	chr14	119100000	119200000	+	10806	chr14-67600000	chr14	67600000	67700000	+	12484	51501681	12	2.067745	1.793025	-13.170832	0.012938	2
interaction54264	chr14-70600000	chr14	70600000	70700000	+	10788	chr14-26300000	chr14	26300000	26400000	+	9335	44286283	11	1.709025	1.873055	-13.168759	0.012961	2
interaction54265	chr14-104000000	chr14	104000000	104100000	+	10651	chr14-79900000	chr14	79900000	80000000	+	11796	24087889	13	2.44992	1.700966	-13.168658	0.012962	2
interaction54273	chr14-28300000	chr14	28300000	28400000	+	11873	chr14-20900000	chr14	20900000	21000000	+	12513	7399123	17	4.163757	1.48829	-13.167657	0.012973	2
interaction54284	chr14-75500000	chr14	75500000	75600000	+	10671	chr14-52700000	chr14	52700000	52800000	+	9594	22804719	12	2.068774	1.771246	-13.166326	0.012987	2
interaction54301	chr15-101100000	chr15	101100000	101200000	+	9954	chr15-97900000	chr15	97900000	98000000	+	13463	3203756	21	6.113751	1.373558	-13.16359	0.013019	2
interaction54308	chr14-31200000	chr14	31200000	31300000	+	12422	chr14-20600000	chr14	20600000	20700000	+	12291	10609639	16	3.711792	1.517851	-13.162914	0.013026	2
interaction54310	chr14-73900000	chr14	73900000	74000000	+	12406	chr14-31500000	chr14	31500000	31600000	+	11834	42394906	13	2.451162	1.723403	-13.162725	0.013028	2
